category,split,rank,object_id,retained_count,retention_rate,uses_frozen_base_preprocessing
bottle,train,1,core-bottle-714320da4aafcb4a47be2353d2b2403b,31,0.775,True
bottle,train,2,core-bottle-dc005c019fbfb32c90071898148dca0e,40,1.0,True
bottle,train,3,core-bottle-d3eea69d9d58401c76c2a9de5c96f76,39,0.975,True
bottle,train,4,core-bottle-ba4b48d76eb79f7cf54e1b6f41fdd78a,38,0.95,True
bottle,train,5,core-bottle-c5032e4be091aabb36fe7a88df793982,14,0.7,False
bottle,train,6,core-bottle-24feb92770933b1663995fb119e59971,20,1.0,False
bottle,train,7,core-bottle-c82bbd1b1a929c7ce8ed8cf0a077ddf7,33,0.868421052631579,False
bottle,train,8,core-bottle-77699e08e3824eab47765668cf4023ed,39,0.975,False
bottle,train,9,core-bottle-1ae823260851f7d9ea600d1a6d9f6e07,21,0.875,False
bottle,train,10,core-bottle-bd28b6cd2fdb691b8d8eca78e5e16d9d,40,1.0,False
bottle,train,11,core-bottle-d30623112e58b893eee7d6dab02eb061,14,0.7,False
bottle,train,12,core-bottle-b198ccb35182e73ffd2866d52d2e8042,38,0.95,False
bottle,train,13,core-bottle-41a2005b595ae783be1868124d5ddbcb,38,0.95,False
bottle,train,14,core-bottle-3ae3a9b74f96fef28fe15648f042f0d9,34,0.85,False
bottle,train,15,core-bottle-e4ada697d05ac7acf9907e8bdd53291e,40,1.0,False
bottle,train,16,core-bottle-3de5abb596766c5380dd154b5d9c087,38,0.95,False
bottle,train,17,core-bottle-e119bf2041459392601bea3dca268229,40,1.0,False
bottle,train,18,core-bottle-74690ddde9c0182696c2e7960a15c619,40,1.0,False
bottle,train,19,core-bottle-42f85b0eb5e9fd508f9c4ecc067067e9,36,0.9,False
bottle,train,20,core-bottle-29cad22b0fc6c9985f16c469ffeb982e,40,1.0,False
bottle,test,1,core-bottle-c3767df815e0e43e4c3a35cee92bb95b,38,0.95,False
bottle,test,2,core-bottle-70172e6afe6aff7847f90c1ac631b97f,36,0.9,False
bottle,test,3,core-bottle-25b8ed5b02f07b6cbcfad79fc308fa6d,22,0.55,False
bottle,test,4,core-bottle-6444875e3217bf891f5f48a891d827bd,35,0.875,False
bottle,test,5,core-bottle-dd280525cf000bc3a608634464309a70,19,0.95,False
