category,selection_rank,object_id,target_failed_object_id,target_geometry_distance,trajectory_count,physical_longest_extent,physical_bbox_volume,bbox_aspect_ratio,convex_piece_count,vertex_count,rotation_angle_std,final_action_dispersion
bottle,1,core-bottle-24feb92770933b1663995fb119e59971,core-bottle-abe557fa1b9d59489c81f0389df0e98a,0.15300626263067682,20,0.11506943028354645,8.712633203643136e-05,4.181818974727983,2,864,0.7492220997810364,0.06237436458468437
bottle,2,core-bottle-8cf1cc180de4ecd0a826d25a0acb0476,core-bottle-abe557fa1b9d59489c81f0389df0e98a,0.49290908455787297,37,0.15438639654919506,0.0003404190575843637,3.407402306643784,1,767,0.8844290971755981,0.2448367327451706
bottle,3,core-bottle-6821f9cc313dfdebe7ef9fff09638f8e,core-bottle-abe557fa1b9d59489c81f0389df0e98a,0.5014776999172997,21,0.10982567072632908,0.00020283383985767863,2.555557106836402,3,743,0.8850435018539429,0.2076575756072998
bottle,4,core-bottle-9f50b2ddbcc2141cfa20324e30e0bf40,core-bottle-abe557fa1b9d59489c81f0389df0e98a,0.5275143369630948,20,0.1535478365679383,0.00028918456391746974,3.538164322451011,2,1272,0.7814612984657288,0.24533605575561523
bottle,5,core-bottle-1f1e747bfce16fe0589ac2c115a083f1,core-bottle-abe557fa1b9d59489c81f0389df0e98a,0.6345950194450044,35,0.14741015670512617,0.0002747573852710874,4.181782076653533,4,635,1.0332127809524536,0.1934860646724701
bowl,1,core-bowl-754634abeb7bffc32977b68653eb2e1e,core-bowl-2ffe06ee50ec1420adbe0813683fcfd0,0.8121013983093156,20,0.19456400289922954,0.0009606880420823889,7.666640397194421,24,1573,0.7814613580703735,0.27663591504096985
bowl,2,core-bowl-1b4d7803a3298f8477bdcb8816a3fac9,core-bowl-2e545ccae1cdc69d879b85bd5ada6e71,0.8382812304159517,20,0.18282480272430182,0.0023912246740727307,2.5555533811758986,28,2697,0.6283185482025146,0.2472279816865921
bowl,3,core-bowl-4eefe941048189bdb8046e84ebdc62d2,core-bowl-95ac294f47fd7d87e0b49f27ced29e3,0.2395552795854349,20,0.1925467885233164,0.0013966690717168379,5.111111111111111,16,1780,0.6283185482025146,0.24495093524456024
bowl,4,core-bowl-a2841256fc6fd90da518b93bb7233de6,core-bowl-6a772d12b98ab61dc26651d9d35b77ca,0.6950818352563816,20,0.1775184026452303,0.00267544164270177,2.0909067352020374,21,2168,0.7814613580703735,0.11332907527685165
bowl,5,core-bowl-879a5c740b25ef5c7a88a2ad67bfd073,core-bowl-6494761a8a0461777cba8364368aa1d,0.7781837250124912,20,0.22623190089699627,0.004782520524412531,2.4210551999753434,13,1903,0.6283185482025146,0.2822263836860657
bowl,6,core-bowl-9ea66797afeb86196ea1c514a0de6d2d,core-bowl-e30e5cbc54a62b023c143af07c12991a,0.47731401164458476,20,0.1579170662750602,0.0019690498491352687,2.000002279680298,32,2821,0.6801747679710388,0.25641149282455444
bowl,7,core-bowl-9a6cec1cfca7e8b5ebc583f22bd58b85,core-bowl-2ffe06ee50ec1420adbe0813683fcfd0,0.8327876047012416,40,0.17165988682115077,0.0012095798110232311,4.181883559090889,11,960,1.1589614152908325,0.2856808006763458
bowl,8,core-bowl-56803af65db53307467ca2ad6571afff,core-bowl-2e545ccae1cdc69d879b85bd5ada6e71,1.1370051576479059,20,0.14746623670387268,0.0012548116393925738,2.5555848239414165,28,2646,0.7695298790931702,0.23034290969371796
bowl,9,core-bowl-aeec00d8dd6e196451a2ad3de1977657,core-bowl-95ac294f47fd7d87e0b49f27ced29e3,0.5548079667849286,20,0.1511585566213429,0.0009760761343054657,3.5384618265715826,20,2250,0.7814613580703735,0.2537402808666229
bowl,10,core-bowl-6501113f772fc798db649551c356c6e8,core-bowl-6a772d12b98ab61dc26651d9d35b77ca,1.0379793312070658,20,0.14963183665546775,0.0010252004385182696,3.2678584532166703,15,1305,0.7814613580703735,0.22250273823738098
camera,1,core-camera-87b8cec4d55b5f2d75d556067d060edf,core-camera-fc83047701a0e21b901ee6249a8d9beb,0.5846843529271459,20,0.1835599690053612,0.0029108800879904125,1.7089610704823663,16,1415,0.7492221593856812,0.26559048891067505
camera,2,core-camera-147183af1ba4e97b8a94168388287ad5,core-camera-fc83047701a0e21b901ee6249a8d9beb,0.7379412821510708,24,0.1476787966991216,0.0006301359402320246,2.555604932939053,10,993,0.4341451823711395,0.33771297335624695
camera,3,core-camera-2153bc743019671ae60635d9e388f801,core-camera-fc83047701a0e21b901ee6249a8d9beb,0.7432511908510341,20,0.14266580212588612,0.0016872032488955654,1.650702960754299,9,1181,0.560886561870575,0.2530581057071686
camera,4,core-camera-e57aa404a000df88d5d4532c6bb4bd2b,core-camera-fc83047701a0e21b901ee6249a8d9beb,0.7528623128213126,24,0.16426080244767666,0.0012525295821095293,2.0,20,1693,0.8974031209945679,0.258137047290802
camera,5,core-camera-4700873107186c6e2203f435e9e6785,core-camera-fc83047701a0e21b901ee6249a8d9beb,0.7659649628630011,33,0.1232807972444594,0.0007863276476862404,1.9166218918838245,26,1753,0.6731641292572021,0.3158845603466034
