label,role,hand,category,success_count,trajectory_count,success_rate
Linker 3 mm最终方法,selected,linker,ball,0,20,0.0
Linker 3 mm最终方法,selected,linker,battery,2,20,0.1
Linker 3 mm最终方法,selected,linker,beanbag,0,20,0.0
Linker 3 mm最终方法,selected,linker,blender,6,20,0.3
Linker 3 mm最终方法,selected,linker,book,7,20,0.35
Linker 3 mm最终方法,selected,linker,bowl,1,20,0.05
Linker 3 mm最终方法,selected,linker,camera,6,20,0.3
Linker 3 mm最终方法,selected,linker,can,3,20,0.15
Linker 3 mm最终方法,selected,linker,canister,7,20,0.35
Linker 3 mm最终方法,selected,linker,cap,0,20,0.0
Linker 3 mm最终方法,selected,linker,cerealbox,7,20,0.35
Linker 3 mm最终方法,selected,linker,clock,3,20,0.15
Linker 3 mm最终方法,selected,linker,cookie,0,20,0.0
Linker 3 mm最终方法,selected,linker,disccase,3,20,0.15
Linker 3 mm最终方法,selected,linker,dog,7,20,0.35
Linker 3 mm最终方法,selected,linker,filecabinet,7,20,0.35
Linker 3 mm最终方法,selected,linker,flashlight,7,20,0.35
Linker 3 mm最终方法,selected,linker,fruit,3,20,0.15
Linker 3 mm最终方法,selected,linker,headphones,6,20,0.3
Linker 3 mm最终方法,selected,linker,horse,6,20,0.3
Linker 3 mm最终方法,selected,linker,ipad,0,20,0.0
Linker 3 mm最终方法,selected,linker,knife,2,20,0.1
Linker 3 mm最终方法,selected,linker,milkcarton,5,20,0.25
Linker 3 mm最终方法,selected,linker,palette,0,20,0.0
Linker 3 mm最终方法,selected,linker,pan,4,20,0.2
Linker 3 mm最终方法,selected,linker,pencil,10,20,0.5
Linker 3 mm最终方法,selected,linker,personstanding,5,20,0.25
Linker 3 mm最终方法,selected,linker,phonebooth,7,20,0.35
Linker 3 mm最终方法,selected,linker,piano,7,20,0.35
Linker 3 mm最终方法,selected,linker,pillow,0,20,0.0
Linker 3 mm最终方法,selected,linker,remote,5,20,0.25
Linker 3 mm最终方法,selected,linker,rubikscube,1,20,0.05
Linker 3 mm最终方法,selected,linker,ship,7,20,0.35
Linker 3 mm最终方法,selected,linker,showerhead,3,20,0.15
Linker 3 mm最终方法,selected,linker,snowman,7,20,0.35
Linker 3 mm最终方法,selected,linker,soapbar,5,20,0.25
Linker 3 mm最终方法,selected,linker,soapbottle,3,20,0.15
Linker 3 mm最终方法,selected,linker,stapler,7,20,0.35
Linker 3 mm最终方法,selected,linker,tapedispenser,8,20,0.4
Linker 3 mm最终方法,selected,linker,thumbtack,6,20,0.3
Linker 3 mm最终方法,selected,linker,tissuebox,8,20,0.4
Linker 3 mm最终方法,selected,linker,toaster,10,20,0.5
Linker 3 mm最终方法,selected,linker,toasteroven,8,20,0.4
Linker 3 mm最终方法,selected,linker,usbstick,4,20,0.2
Linker 3 mm最终方法,selected,linker,vase,4,20,0.2
Linker 3 mm最终方法,selected,linker,videogamecontroller,0,20,0.0
Linker 3 mm最终方法,selected,linker,wallclock,0,20,0.0
Linker 3 mm最终方法,selected,linker,watch,7,20,0.35
Linker 3 mm最终方法,selected,linker,wii,8,20,0.4
Linker 3 mm最终方法,selected,linker,winebottle,12,20,0.6
Linker渐进夹紧基线,historical_baseline,linker,ball,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,battery,1,20,0.05
Linker渐进夹紧基线,historical_baseline,linker,beanbag,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,blender,5,20,0.25
Linker渐进夹紧基线,historical_baseline,linker,book,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,bowl,2,20,0.1
Linker渐进夹紧基线,historical_baseline,linker,camera,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,can,3,20,0.15
Linker渐进夹紧基线,historical_baseline,linker,canister,8,20,0.4
Linker渐进夹紧基线,historical_baseline,linker,cap,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,cerealbox,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,clock,3,20,0.15
Linker渐进夹紧基线,historical_baseline,linker,cookie,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,disccase,3,20,0.15
Linker渐进夹紧基线,historical_baseline,linker,dog,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,filecabinet,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,flashlight,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,fruit,3,20,0.15
Linker渐进夹紧基线,historical_baseline,linker,headphones,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,horse,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,ipad,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,knife,2,20,0.1
Linker渐进夹紧基线,historical_baseline,linker,milkcarton,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,palette,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,pan,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,pencil,10,20,0.5
Linker渐进夹紧基线,historical_baseline,linker,personstanding,5,20,0.25
Linker渐进夹紧基线,historical_baseline,linker,phonebooth,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,piano,5,20,0.25
Linker渐进夹紧基线,historical_baseline,linker,pillow,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,remote,5,20,0.25
Linker渐进夹紧基线,historical_baseline,linker,rubikscube,1,20,0.05
Linker渐进夹紧基线,historical_baseline,linker,ship,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,showerhead,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,snowman,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,soapbar,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,soapbottle,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,stapler,8,20,0.4
Linker渐进夹紧基线,historical_baseline,linker,tapedispenser,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,thumbtack,6,20,0.3
